RefSeq_ID	Gene_Symbol	Chromosome	Start	End	Expression Breadth	RPKM	Housekeeping?	
NM_001159554	P2RX6	chr22	21369442	21382302	28	0.657842	No	
NM_152399	TMEM155	chr4	122680085	122686340	19	0.109552	No	
NM_001002880	CBY1	chr22	39052658	39069855	31	26.0461	Yes	
NM_014867	KBTBD11	chr8	1922044	1955109	30	0.852601	Yes	
NM_001013649	C2orf68	chr2	85832376	85839179	31	5.4126	Yes	
NM_133466	ZFP82	chr19	36882861	36909550	30	2.78186	Yes	
NM_015569	DNM3	chr1	171810621	172381857	29	0.218023	No	
NM_015456	NELFB	chr9	140149759	140168000	30	19.4934	Yes	
NM_001099952	ITPR1	chr3	4535032	4889524	31	0.631405	Yes	
NM_015979	MED23	chr6	131895106	131949379	31	10.0399	Yes	
NM_053050	MRPL53	chr2	74699085	74699942	31	30.2677	Yes	
NM_022904	RASAL3	chr19	15562438	15575382	25	0.0749754	No	
NM_002256	KISS1	chr1	204159469	204165619	13	7.71231	No	
NM_001105518	SWT1	chr1	185126192	185260913	29	1.35306	No	
NM_001083112	GPD2	chr2	157291965	157442915	31	7.23175	Yes	
NM_001190241	IFT80	chr3	159974774	160117320	31	16.107	Yes	
NM_024078	NOC4L	chr12	132628993	132636986	30	5.34686	Yes	
NM_144668	WDR66	chr12	122356463	122441832	31	0.583787	Yes	
NM_052845	MMAB	chr12	109991521	110011358	30	2.35256	Yes	
NM_015455	CNOT6	chr5	179921417	180005353	31	4.80416	Yes	
NM_138376	TTC5	chr14	20757301	20774153	31	5.01471	Yes	
NM_016033	RMDN1	chr8	87484578	87521009	30	14.9665	Yes	
NM_000455	STK11	chr19	1205798	1228434	31	15.9672	Yes	
NM_182515	ZNF714	chr19	21264953	21307883	31	0.56584	Yes	
NR_033322	NSUN5P1	chr7	75039624	75046065	30	2.24344	Yes	
NM_015036	ENDOD1	chr11	94822974	94865815	30	4.27803	Yes	
NM_015188	TBC1D12	chr10	96162186	96296089	31	2.9626	Yes	
NM_024813	RPAP2	chr1	92764522	92853732	30	5.17171	Yes	
